# Step-1 rejected-side misfires (2026-08-24 audit)
# Extracted from INFRA_FILTER_STEP1_CONST_VERDICTS.tsv; mechanisms and
# status per the adversarial audit recorded in INFRA_FILTER_REWORK_PLAN.md §7.
# status: confirmed = verified legitimate cited math; borderline/gray = design call.
# columns: constant	rule	mechanism	status
Complete_Lattices.class.complete_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Bit_Operations.class.ring_bit_operations	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.order_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_1_no_zero_divisors	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_nonzero_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.discrete_linordered_semidom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_algebra_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.complete_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Multiseries_Expansion.class.multiseries	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_semigroup_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.comm_real_normed_algebra_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Factorial_Ring.class.factorial_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Factorial_Ring.class.factorial_ring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.uniform_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.perfect_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semidom_divide_unit_factor	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_semiring_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Elementary_Topology.class.polish_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Dirichlet_Series.class.nat_power_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Boolean_Algebras.class.boolean_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Signed_Division.class.signed_division	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_no_zero_divisors	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_semiring_1_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.sgn_div_norm	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.metric_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Quickcheck_Exhaustive.class.check_all	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.comm_semiring_prime_char	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.unbounded_dense_order	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_ab_group_add_abs	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
GCD.class.semiring_gcd_mult_normalize	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Space.class.euclidean_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Archimedean_Field.class.floor_ceiling	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_vector	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_monoid_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.linordered_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.cancel_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.euclidean_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Unique_Factorization.class.idom_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_modulo_trivial	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ring_1_no_zero_divisors	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_semiring_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_cancel_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattice_Algebras.class.lattice_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.cancel_comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Algorithm.class.field_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_ring_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_semiring_1_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_semiring_0_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.dist_norm	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Polynomial.class.field_unit_factor	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.bounded_lattice_top	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.bounded_lattice_bot	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conjugate.class.conjugatable_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Bit_Operations.class.semiring_bits	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.t4_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.t3_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.t2_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.t1_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.t0_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ring_no_zero_divisors	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_comm_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.normalization_semidom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_semiring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.comm_ring_prime_char	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.check_prime_by_range	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Polynomial.class.alg_closed_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Infinite_Typeclass.class.infinite	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.cancel_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Enum.class.finite_distrib_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conjugate.class.conjugatable_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Complete_Partial_Order.class.ccpo	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.semiring_prime_char	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Dirichlet_Series.class.nat_power	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.banach	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Missing_Ring.class.ordered_idom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Unique_Factorization.class.ufd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_semiring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_semiring_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_semidom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.enum_finite_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.dense_linorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.semilattice_sup	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.semilattice_inf	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.distrib_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.bounded_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Inner_Product.class.real_inner	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ab_semigroup_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_1_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_0_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_comm_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.algebraic_semidom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.field_prime_char	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Preorder.class.preorder_equiv	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.comm_monoid_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.comm_monoid_diff	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Fields.class.linordered_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Cardinality.class.finite_UNIV	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_ring_abs	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.idom_prime_char	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Parity.class.semiring_parity	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_modulo	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_idom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_semiring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_semiring_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.dense_order	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.semigroup_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Cardinality.class.card_UNIV	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semidom_modulo	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semidom_divide	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.divide_trivial	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Num.class.semiring_numeral	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Is_Rat_To_Rat.class.is_rat	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Gamma_Function.class.Gamma	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Fields.class.field_abs_sgn	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Fields.class.division_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.zero_less_one	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Quotient_Type.class.equiv	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Primes.class.finite_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.wellorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.order_top	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.order_bot	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Nat.class.semiring_char_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Fields.class.field_char_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Enum.class.finite_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Countable.class.countable	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conjugate.class.conjugate	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.zero_neq_one	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.idom_abs_sgn	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Parity.class.ring_parity	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.preorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.linorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.monoid_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Cardinality.class.CARD_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Transcendental.class.ln	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.idom_modulo	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.idom_divide	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_ring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Mod_Type.class.mod_type	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
List.class.interval_top	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
List.class.interval_bot	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Finite_Set.class.finite	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Cardinality.class.card2	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.no_top	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.no_bot	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
GCD.class.semiring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
GCD.class.semiring_Gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Type_Length.class.len	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.mult_zero	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.comm_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.order	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Num.class.neg_numeral	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Nat.class.ring_char_0	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semidom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
List.class.interval	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ring_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.abs_if	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
GCD.class.ring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Fields.class.field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.dioid	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Num.class.numeral	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.idom	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
HOL.class.equal	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Enum.class.enum	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Approximation.floatarith.typerep_floatarith_IITN_floatarith_inst.typerep_floatarith_IITN_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.floatarith.typerep_floatarith_pre_floatarith_inst.typerep_floatarith_pre_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.poly.typerep_poly_IITN_poly_inst.typerep_poly_IITN_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.poly.typerep_poly_pre_poly_inst.typerep_poly_pre_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.partial_term_of_poly_inst.partial_term_of_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.full_exhaustive_poly_inst.full_exhaustive_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.partial_term_of_floatarith_inst.partial_term_of_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.full_exhaustive_floatarith_inst.full_exhaustive_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.form.typerep_form_IITN_form_inst.typerep_form_IITN_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.narrowing_poly_inst.narrowing_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.form.typerep_form_pre_form_inst.typerep_form_pre_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.typerep_poly_inst.typerep_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.term_of_poly_inst.term_of_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.random_poly_inst.random_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Reflected_Multivariate_Polynomial.equal_poly_inst.equal_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.partial_term_of_form_inst.partial_term_of_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Approximation.full_exhaustive_form_inst.full_exhaustive_form	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
Reflected_Multivariate_Polynomial.size_poly_inst.size_poly	infra_theory	RMP: real polynomial library, zero external citers	borderline
Approximation.typerep_floatarith_inst.typerep_floatarith	infra_theory	Approximation: downstream-cited numerics ecosystem	confirmed
